id,InvoiceID,InvoiceNumber,user_id,order_type,ordernumber,shipping_method_id,payment_mothod_id,subtotal,vat,shipping_charge,discount,total,status,deleted,deleted_by,created_at,Day,Month,Year,Day of Week
4,013b48a3-6053-4bcc-96a6-4ace11c5555c,INV-5021,7337,1,16249713427337,19,1,450,58.7,70,0,520,6,0,NULL,29/06/2021,29,6,2021,3
6,d44eb998-d425-4e0a-8eeb-80ff977b76a0,INV-5026,7339,1,16249726217339,12,2,227.7,38.83,70,23,287.7,6,0,NULL,29/06/2021,29,6,2021,3
7,bdf9aac1-2000-473b-86e9-e81e1135e8b0,INV-4996,4337,1,16249726664337,20,11,2577,336.13,0,258,2567,6,0,NULL,29/06/2021,29,6,2021,3
12,568b3e49-d2a8-44d0-83e3-4fb9531075f6,INV-5052,7340,1,16249743457340,17,1,1040,135.65,0,0,1040,6,0,NULL,29/06/2021,29,6,2021,3
13,85d8b15d-9682-4238-b68a-5841dbc7d581,INV-5040,4868,1,16249745494868,12,2,1771.59,231.08,0,0,1771.59,6,0,NULL,29/06/2021,29,6,2021,3
15,d9cc7858-b344-4842-a829-be3e1201b069,INV-5053,7341,1,16249750467341,12,2,160,30,70,0,230,6,0,NULL,29/06/2021,29,6,2021,3
16,27a1a752-657b-4b07-bd34-5ae502ce2ab3,INV-5054,7343,1,16249770997343,12,1,835,108.91,0,0,835,6,0,NULL,29/06/2021,29,6,2021,3
17,0a3cc053-9085-45fa-a857-cfca7685aa69,INV-6435,339,1,1624977306339,21,1,1221,159.26,0,122,1211,6,0,NULL,29/06/2021,29,6,2021,3
21,7c07611d-7d5c-4c70-a390-af189464456f,INV-5057,2017,1,16249813462017,17,1,830,108.26,0,0,830,6,0,NULL,29/06/2021,29,6,2021,3
22,75fa9728-ec3a-45e4-83d1-8cf89e9c00b7,INV-5058,7347,1,16249822107347,19,1,1470,191.74,0,0,1470,6,0,NULL,29/06/2021,29,6,2021,3
23,017975c8-78cc-45ea-879f-05d5d1dcb712,INV-5059,7348,1,16249823537348,20,1,1660,216.52,0,0,1660,6,0,NULL,29/06/2021,29,6,2021,3
24,8d9330fa-3314-46c3-9ec6-c9ca423a8735,INV-5060,7349,1,16249869417349,17,1,670,87.39,0,0,670,6,0,NULL,29/06/2021,29,6,2021,3
25,6b96a2c6-a416-430b-9135-79ab90d3237c,INV-5061,3974,1,16249896713974,17,1,2614.95,341.08,0,0,2614.95,6,0,NULL,29/06/2021,29,6,2021,3
26,498eda4b-cf32-491c-816e-3b2f01773806,INV-5062,7351,1,16249916067351,20,1,2345,305.87,0,0,2345,6,0,NULL,29/06/2021,29,6,2021,3
30,bf50667b-3f4e-4977-83e5-c20de944f619,INV-5063,7353,1,16249936627353,21,1,2370,309.13,0,0,2370,6,0,NULL,29/06/2021,29,6,2021,3
33,b2cb625e-8387-412a-8d28-d2bc162d8e96,INV-5064,7354,1,16249944507354,12,12,80,19.57,70,0,150,6,0,NULL,29/06/2021,29,6,2021,3
34,60e06ac7-eea0-46ac-9e8a-5fec3283e0b2,INV-5065,7350,1,16249945647350,19,1,479,62.48,70,0,549,6,0,NULL,29/06/2021,29,6,2021,3
35,10e6f6a3-118a-4038-a29b-3d2a800ee1bb,INV-5066,3232,1,16249955343232,17,1,765,99.78,0,0,765,6,0,NULL,29/06/2021,29,6,2021,3
36,7d703f93-958b-41bd-82d2-d32743fdc026,INV-5039,7357,1,16249957367357,19,2,300,39.13,70,30,360,6,0,NULL,29/06/2021,29,6,2021,3
40,21afd2d5-a5d4-41be-b1be-80eb9138d061,INV-5067,7360,1,16250007357360,17,12,1750,228.26,0,0,1750,6,0,NULL,29/06/2021,29,6,2021,3
41,0eb399a6-3737-4866-88a9-651ec739d443,INV-5068,7362,1,16250013367362,17,1,320,41.74,70,0,390,6,0,NULL,29/06/2021,29,6,2021,3
42,73381bab-b8fc-475c-a59e-e2fe9cca774c,INV-5069,4519,1,16250287344519,19,1,830,108.26,0,0,830,6,0,NULL,30/06/2021,30,6,2021,4
44,9ae18676-c063-4c3f-810f-b724f3ae2c82,INV-5070,3422,1,16250316113422,20,1,1220,159.13,0,0,1220,6,0,NULL,30/06/2021,30,6,2021,4
45,aae3d17d-f746-46bc-a245-b3293f27bd30,INV-4998,3022,1,16250320083022,12,1,1375,179.35,0,0,1375,6,0,NULL,30/06/2021,30,6,2021,4
